Seed:8054696890910205367
41, 2, 1428,1.136257e-08
144, 2, 4912,1.125152e-08
31, 2, 4480,1.128445e-08
29, 1, 3978,1.137926e-08
187, 2, 4851,1.144071e-08
25, 1, 644,1.142077e-08
62, 1, 3082,1.174077e-08
74, 2, 4879,1.176289e-08
112, 2, 1641,1.139315e-08
34, 2, 767,1.139894e-08
204, 10, 3752,1.153349e-08
36, 6, 941,1.198498e-08
25, 1, 671,1.168741e-08
112, 2, 4549,1.187125e-08
66, 1, 532,1.120832e-08
75, 1, 3683,1.134137e-08
3, 1, 4947,1.154478e-08
95, 1, 1823,1.157110e-08
29, 1, 2818,1.191217e-08
169, 3, 1356,1.121124e-08
198, 5, 1950,1.151164e-08
60, 1, 3429,1.163827e-08
101, 3, 4754,1.160745e-08
69, 1, 4155,1.198503e-08
93, 1, 4602,1.127831e-08
135, 4, 591,1.198951e-08
120, 1, 4162,1.189093e-08
124, 5, 248,1.184566e-08
71, 2, 4928,1.142387e-08
97, 1, 3815,1.184843e-08
198, 5, 3001,1.158496e-08
77, 1, 447,1.196539e-08
142, 4, 978,1.177571e-08
75, 2, 4225,1.177635e-08
118, 1, 1975,1.142309e-08
101, 3, 1043,1.165851e-08
202, 2, 4321,1.150883e-08
34, 2, 3482,1.184970e-08
54, 3, 3745,1.121593e-08
201, 8, 2609,1.157926e-08
107, 2, 3405,1.172101e-08
113, 1, 866,1.157320e-08
65, 2, 2167,1.152271e-08
28, 5, 626,1.129639e-08
14, 1, 1265,1.123456e-08
34, 3, 1149,1.127005e-08
49, 1, 1233,1.149778e-08
136, 1, 2898,1.163758e-08
211, 8, 4245,1.133809e-08
81, 1, 1686,1.173973e-08
87, 1, 643,1.161092e-08
50, 1, 1500,1.124177e-08
200, 9, 2255,1.129322e-08
11, 1, 3254,1.158195e-08
202, 1, 4275,1.132857e-08
17, 1, 2886,1.134609e-08
81, 2, 1311,1.189558e-08
49, 2, 1652,1.189193e-08
147, 2, 1176,1.160444e-08
127, 5, 4310,1.180413e-08
67, 3, 4610,1.187293e-08
45, 5, 1667,1.122601e-08
40, 2, 1588,1.142964e-08
163, 2, 3263,1.136277e-08
65, 6, 4351,1.168860e-08
35, 1, 336,1.142856e-08
93, 2, 2388,1.137480e-08
21, 6, 923,1.168882e-08
50, 2, 432,1.136054e-08
213, 9, 1229,1.163137e-08
149, 6, 4659,1.170627e-08
37, 1, 3071,1.145848e-08
17, 1, 4284,1.180731e-08
12, 1, 2867,1.160510e-08
113, 1, 2278,1.193348e-08
26, 4, 791,1.140845e-08
81, 1, 107,1.169820e-08
205, 3, 4265,1.134634e-08
5, 1, 2421,1.148745e-08
2, 1, 3259,1.133271e-08
187, 6, 2220,1.175701e-08
88, 3, 3501,1.158518e-08
91, 1, 4362,1.138557e-08
78, 4, 3801,1.131931e-08
215, 3, 461,1.123252e-08
152, 3, 801,1.193277e-08
134, 2, 4097,1.141387e-08
129, 4, 2149,1.179079e-08
46, 2, 2499,1.127711e-08
111, 1, 3497,1.165050e-08
101, 3, 2020,1.189277e-08
28, 6, 16,1.142512e-08
37, 1, 875,1.178118e-08
13, 1, 227,1.127695e-08
97, 2, 1713,1.122776e-08
217, 6, 474,1.152855e-08
138, 4, 219,1.145588e-08
25, 3, 2139,1.161872e-08
124, 2, 4318,1.199069e-08
57, 1, 1898,1.145876e-08
180, 5, 2135,1.141236e-08
142, 5, 931,1.159531e-08
188, 4, 2066,1.135062e-08
188, 4, 1931,1.165703e-08
45, 3, 3529,1.126528e-08
208, 1, 1419,1.147691e-08
136, 3, 3674,1.162508e-08
25, 3, 4702,1.197091e-08
36, 1, 2620,1.130284e-08
167, 6, 379,1.189502e-08
80, 4, 1894,1.165572e-08
118, 1, 4270,1.151325e-08
172, 1, 1726,1.156247e-08
26, 1, 2778,1.120115e-08
187, 8, 2058,1.170715e-08
20, 2, 1806,1.156134e-08
196, 8, 1754,1.144323e-08
210, 12, 1661,1.185043e-08
3, 1, 518,1.124790e-08
85, 2, 384,1.156972e-08
94, 6, 430,1.126606e-08
113, 1, 263,1.134333e-08
217, 4, 1058,1.143593e-08
54, 1, 432,1.149307e-08
82, 5, 500,1.139994e-08
211, 10, 1591,1.131897e-08
154, 2, 839,1.182540e-08
46, 1, 3155,1.193952e-08
205, 10, 442,1.189795e-08
142, 1, 4570,1.157730e-08
113, 1, 930,1.185419e-08
102, 4, 887,1.149536e-08
75, 2, 93,1.145652e-08
119, 5, 3414,1.167063e-08
174, 3, 1483,1.153933e-08
129, 2, 3041,1.199717e-08
211, 5, 1694,1.181372e-08
149, 5, 1661,1.123410e-08
120, 4, 3478,1.183401e-08
14, 1, 831,1.182968e-08
